Serial_number,Muhavara,Meaning,Example
1052,पट्टी पढ़ाना,गलत सलाह देना,- किसी को पट्टी पढ़ाना अच्छी बात नहीं।
1053,पत्थर का कलेजा,कठोर हृदय व्यक्ति,- शेरसिंह का पत्थर का कलेजा है तभी अपने माता-पिता के             देहांत पर उसकी आँखों में आँसू नहीं थे।
1054,पत्थर की लकीर,पक्की बात,- पंडित जी की बात पत्थर की लकीर है।
1055,पर्दा उठना,भेद प्रकट होना,- आज सच्चाई से पर्दा उठ ही गया कि मुन्ना धनवान है।
1056,पलकों पर बिठाना,बहुत अधिक आदर-स्वागत करना,- रामू ने विदेश से आए बेटों को पलकों पर बिठा लिया।
1057,पलकें बिछाना,बहुत श्रद्धापूर्वक आदर-सत्कार करना,- नेताजी के आने पर सबने पलकें बिछा दीं।
1058,पाँव धोकर पीना,अत्यन्त सेवा-शुश्रुषा और सत्कार करना,- रमा अपनी सासुमाँ के पाँव धोकर पीती है।
1059,पॉकेट गरम करना,घूस देना,- अदालत में पॉकेट गर्म करने के बाद ही रामू का काम हुआ।
1060,पीठ की खाल उधेड़ना,कड़ी सजा देना,- कक्षा में शोर मचाने पर अध्यापक ने रामू की पीठ की खाल उधेड़ दी।
1061,पीठ ठोंकना,शाबाशी देना,- कक्षा में फर्स्ट आने पर अध्यापक ने राजू की पीठ ठोंक दी।
1062,प्राण हथेली पर लेना,जान खतरे में डालना,- सैनिक प्राण हथेली पर लेकर देश की रक्षा करते हैं।
1063,प्राणों पर खेलना,जान जोखिम में डालना,- आचार्य जी डूबती बच्ची को बचाने के लिए अपने प्राणों पर खेल गए।
1064,पंख लगना,विशेष चतुराई के लक्षण प्रकट करना,"- मधु के तो पंख लग गए हैं, उसे बहस में हरा पाना आसान नहीं है।"
1065,पंथ निहारना/देखना,प्रतीक्षा करना,- गोपियाँ पंथ निहारती रहीं पर कृष्ण कभी वापस न आए।
1066,पत्ता खड़कना,आशंका होना,"- अगर यहाँ पत्ता भी खड़केगा तो मुझे खबर मिल जाएगी, इसलिए आप निश्चिंत होकर अपना काम कीजिए।"
1067,पर कटना,अशक्त हो जाना,- इस लड़के के पर काटने पड़ेंगे बहुत बक-बक करने लगा है।
1068,पलक-पाँवड़े बिछाना,बहुत श्रद्धापूर्वक स्वागत करना,- गाँधी जी जिस गाँव से भी निकल जाते थे लोग उनके स्वागत में पलक-पाँवड़े बिछा देते थे।
1069,पलकों में रात बीतना,रातभर नींद न आना,"- रात को कॉफी क्या पी, पलकों में ही सारी रात बीत गई।"
1070,पल्ला छुड़ाना,छुटकारा पाना,- मुझे इस काम में फँसाकर आप मुझसे पल्ला क्यों छुड़ाना चाहते हैं?
1071,पल्ला पकड़ना,आश्रय लेना,- अब पल्ला पकड़ा है तो जीवनभर साथ निभाना होगा।
1072,पसीने की कमाई,मेहनत से कमाई हुई संपत्ति,"- भाई साहब! यह मेरे पसीने की कमाई है, मैं ऐसे ही नहीं लुटा सकता।"
1073,पाँव पड़ना,बहुत अनुनय-विनय करना,"- मेरे पाँव पड़ने से कुछ न होगा, जाकर अपने अध्यापक से माँफी माँगो।"
1074,पाँव में बेड़ी पड़ना,स्वतंत्रता नष्ट हो जाना,"- मल्लिका का विवाह क्या हुआ बेचारी के पाँवों में बेड़ी पड़ गई  है, उसके सास-ससुर उसे  कहीं आने-जाने ही नहीं देते।"
1075,पाँवों में मेंहदी लगना,कहीं जाने में अशक्त होना,- तुम्हारे पाँवों में क्या मेंहदी लगी है जो तुम बाजार तक जाकर सब्जी भी नहीं ला सकते?
1076,पाँसा पलटना,भाग्य का प्रतिकूल होना,- पता नहीं कब क्या से क्या हो जाए? पाँसा पलटते देर नहीं लगती।
1077,पानी जाना,प्रतिष्ठा नष्ट होना,- मनुष्य का यदि एक बार पानी चला जाए तो दुबारा वैसा ही सम्मान वापस नहीं मिलता।
1078,पानी की तरह रुपया बहाना,अन्धाधुन्ध खर्च करना,- सेठजी ने सेठानी के इलाज पर पानी की तरह रुपया               बहाया पर कुछ न हो सका।
1079,पापड़ बेलना,"कष्टमय जीवन बिताना, बहुत परिश्रम करना",- कितने पापड़ बेले हैं तब जाकर यह छोटी-सी नौकरी मिली है।
1080,पाप का घड़ा भरना,पाप का पराकाष्ठा पर पहुँचना,"- वह दुष्ट समझता था कि उसके पापों का घड़ा कभी भरेगा ही नहीं, पर समय किसी  को नहीं छोड़ता।"
1081,पार लगाना,उद्धार करना,- ईश्वर पर भरोसा रखो। वे ही हमारी नैया पार लगाएँगे।
1082,पाला पड़ना,वास्ता पड़ना,- मुझसे पाला पड़ा होता तो उसके होश ठिकाने आ जाते।
1083,पासा पलटना,स्थिति उलट जाना,- क्या करें पास ही पलट गया। सोचा कुछ था हो कुछ गया।
1084,पिंड छुड़ाना,पीछा छुड़ाना,- बड़ा दुष्ट है वह। उससे पिंड छुड़ाना बहुत मुश्किल है।
1085,पिल पड़ना,किसी काम के पीछे बुरी तरह लग जाना,- बर्तन में रखे दूध पर बिल्लियाँ ऐसे पिल पड़ीं कि सारा दूध जमीन पर फैल गया।
1086,पीछा छुड़ाना,जान छुड़ाना,- बड़ी मुश्किल से मैं उससे पीछा छुड़ाकर आया हूँ।
1087,पीठ दिखाना,हारकर भागना/पीछे हटना,- पाकिस्तानी सेना पीठ दिखाकर भाग निकली।
1088,पीस डालना,नष्ट कर देना,- जो मुझसे टक्कर लेगा उसे मैं पीस डालूँगा।
1089,पुरजा ढीला होना,व्यक्ति का सनकी हो जाना,- मदन लाल के दिमाग का पुरजा ढीला हो गया है। उसे पता ही नहीं चलता कि क्या बोल रहा है?
1090,पूरा न पड़ना,कमी पड़ना,- मेहमान अधिक आ गए हैं शायद इतना खाना पूरा न पड़े?
1091,पेट पर लात मारना,रोजी ले लेना,- मैं किसी के पेट पर लात मारना नहीं चाहता वरना अब तक तो उसे नौकरी से बाहर कर दिया होता।
1092,पेट पीठ एक होना,बहुत दुर्बल होना,- तीन माह की बीमारी में रमेश के पेट-पीठ एक हो गए हैं।
1093,पेट में दाढ़ी होना,बहुत चालाक होना,"- उसे सीधा मत समझना। उसके पेट में दाढ़ी है, किसी भी दिन चकमा दे सकता है।"
1094,पेट में बात न पचना,कोई बात छिपा न सकना,- उसे हर बात मत बताया करो क्योंकि उसके पेट में कोई बात नहीं पच ती।
1095,पानी न माँगना-,तत्काल मर जाना,
1096,पानी पर नींव डालना-,ऐसी वस्तु को आधार बनाना जो टिकाऊ न हो,
1097,पानी पीकर जाति पूछना-,कोई काम कर चुकने के बाद उसके औचित्य का निर्णय करना,
1098,पानी रखना-,मर्यादा की रक्षा करना,
1099,पानी में आग लगाना-,असंभव कार्य करना,
1100,पानी लगना,कहीं का,- 
1101,पानी करना-,सरल कर देना,
1102,पानी फिर जाना-,बर्बाद होना,
1103,पोल खुलना-,रहस्य प्रकट करना,
1104,पुरानी लकीर का फकीर होना/पुरानी लकीर पीटना-,पुरानी चाल मानना,
1105,पैर पकड़ना-,क्षमा चाहना,
1106,फूलना-फलना,धनवान या कुलवान होना,- मेरा आशीर्वाद है; सदा फूलो-फलो।
1107,फटे में पाँव देना,दूसरे की विपत्ति अपने ऊपर लेना,- शर्मा जी की फटे में पाँव देने की आदत है।
1108,फल चखना,कुपरिणाम भुगतना,"- वह जैसा कर्म करेगा, वैसा फल चखेगा।"
1109,फुलझड़ी छोड़ना,कटाक्ष करना,- गुप्ता जी तो कोई न कोई फुलझड़ी छोड़ते ही रहते हैं।
1110,फूट डालना,मतभेद पैदा करना,- अंग्रेजों ने फूट डाल कर भारत पर राज किया था।
1111,फूला न समाना,अत्यन्त आनन्दित होना,- जब रवि कक्षा 10 में पास हो गया तो वह फूला नहीं समाया।
1112,फूँककर पहाड़ उड़ाना,असंभव कार्य करना,- धीरज फूँककर पहाड़ उड़ाना चाहता है।
1113,फूंक-फूंक कर कदम रखना,सोच-समझकर काम करना,- एक बार नुकसान उठा लिया अब तो फूंक-फूंक कर कदम रखो।
1114,फूटी आँखों न सुहाना,तनिक भी अच्छा न लगना,- झूठ बोलने वाले लोग मुझे फूटी आँख नहीं सुहाते।
1115,फटे हाल होना,बहुत गरीब होना,- जो बेचारा खुद फटे हाल है वह दूसरों की क्या मदद करेगा।
1116,फूँक निकल जाना,भयभीत होना,- बहुत बढ़-चढ़ कर बोल रहा था। जैसे ही प्रधानाचार्य आए उसकी फूँक निकल गई।
1117,फूटी कौड़ी भी न होना,बहुत गरीब होना,"- मेरे पास तो फूटी कौड़ी भी नहीं हैं, मैं तुम्हारी मदद नहीं कर सकता।"
1118,फूट-फूट कर रोना,बहुत रोना,- परीक्षा में अनुत्तीर्ण होने की खबर सुनकर वह फूट-फूट कर रोने लगी।
1119,फूलकर कुप्पा हो जाना,बहुत खुश होना,- नौकरी लगने की खबर सुनते ही वह फूलकर कुप्पा हो गया।
1120,फक हो जाना,घबड़ा जाना,- ज्योंही मैंने उससे एक हिसाब पूछा कि वह फ़क हो गया।
1121,फंदे में फँसना,जाल में फँसना,"- जब तुम किसी बदमाश के फंदे में फँसोगे, तो पता चलेगा।"
1122,फंदे में पड़ना,धोखे में पड़ना,- क्या तुम्हारे जैसा चतुर व्यक्ति भी किसी के फंदे में पड़ सकता है ?
1123,फब्तियाँ कसना,व्यंग्य करना,- फब्तियाँ कसने की आदत छोड़ो।
1124,फाख्ता उड़ाना,गुलछर्रे उड़ाना,"- दूसरे की कमाई पर फाख्ता उड़ाए जाओ, जब स्वयं कमाने लगोगे तो आटे-दाल का भाव मालूम होगा।"
1125,फूल सूँघकर रहना,बहुत थोड़ा खाना,"- क्या आप फूल सूँघकर रहते हैं, जो इतना दुर्बल हो गये हैं।"
1126,फ़ूलों से तौला जाना,अतीव कोमल होना,- रानी तो फूलों से तौली जाती है।
1127,फफोले फोड़ना-,वैर साधना,
1128,फूल झड़ना-,मधुर बोलना,
1129,बीड़ा उठाना,दायित्व लेना,- गांधजी ने भारत को आजाद करने का बीड़ा उठाया था।
1130,बाजी ले जाना या मारना,जीतना,"- देखें, दौड़ में कौन बाजी ले जाता या मारता है।"
1131,बेसिर-पैर की बात करना,व्यर्थ की बात करना,"- वह तो जब भी देखो,                                      बेसिर-पैर की बात करता है।"
1132,बगलें झाँकना,उत्तर न दे सकना,- अध्यापक के सवाल पर राजू बगलें                                       झाँकने लगा।
1133,बगुला भगत,ढोंगी व्यक्ति,"- वो साधु तो बगुलाभगत निकला, सबको लूट कर                                     भाग गया।"
1134,बाग-बाग होना,बहुत खुश होना,- जब राम अपनी कक्षा में फर्स्ट आया तो                                     उसके माता-पिता का दिल बाग-बाग हो गया।
1135,बोलबाला होना,ख्याति होना,- शहर में सेठ रामचंदानी का बहुत बोलबाला है।
1136,बखिया उधेड़ना,भेद या राज खोलना या पोल खोलना,- आज अजय ने रामू की                                  बखिया उधेड़ दी।
1137,बाँसों उछलना,बहुत खुश होना,- जब बेरोजगार राजू को नौकरी मिल गई तो वह बाँसों                                   उछल रहा था।
1138,बाट जोहना,इन्तजार अथवा प्रतीक्षा करना,- रामू की माँ परदेस गए बेटे की कब से                                   बाट जोह रही है।
1139,बात को गाँठ में बाँधना,स्मरण/याद रखना,"- मित्र, मेरी बात को गाँठ में बाँध लो,                                  तुम अवश्य सफल होओगे।"
1140,बात खुलना,रहस्य खुलना,- कल सबके सामने रमेश की बात खुल गई।
1141,बात बनाना,झूठ बोलना,- मोहन अब बात बनाना भी सीख गया है।
1142,बुद्धि पर पत्थर पड़ना,अक्ल काम न करना,- आज उसकी बुद्धि पर पत्थर पड़ गए तभी तो                                  उसने 10 लाख का मकान 2 लाख में बेच दिया।
1143,बेपेंदी का लौटा,किसी की तरफ न टिकने वाला,- वह नेता तो बेपेंदी का लौटा है- कभी इस                                   पार्टी में तो कभी उस पार्टी में चला जाता है।
1144,बछिया का ताऊ,मूर्ख व्यक्ति,- धीरू तो बछिया का ताऊ है।
1145,बधिया बैठना,बहुत घाटा होना,- नए रोजगार में तो पवन की बधिया ही बैठ गई।
1146,बहत्तर घाट का पानी पीना,अनेक प्रकार के अनुभव प्राप्त करना,"- काका जी बहत्तर घाट का                                  पानी पी चुके हैं, उनको कोई धोखा नहीं दे सकता।"
1147,बाएं हाथ का खेल,बहुत सुगम कार्य,- रामू ने कहा कि कबड्डी में जीतना तो उसके बाएं                                  हाथ का खेल है।
1148,बारह बाट करना,तितर-बितर करना,- भाई-भाई की लड़ाई ने राम और श्याम को                                   बारह बाट कर दिया।
1149,बाल की खाल निकालना,छोटी से छोटी बातों पर तर्क करना,- सूरज तो हमेशा बाल की                                  खाल निकालता रहता है।
1150,बाल बाँका न होना,जरा भी हानि न होना,- जिसकी रक्षा ईश्वर करता है उसका बाल भी                                   बाँका नहीं हो सकता।
1151,बुढ़ापे की लाठी,बुढ़ापे का सहारा,"- रामदीन का बेटा उसके बुढ़ापे का लाठी था,                                   वह भी विदेश चला गया।"
1152,बहती गंगा में हाथ धोना,समय का लाभ उठाना,- हर आदमी बहती गंगा में हाथ धोना चाहता है चाहें उसमें            क्षमता हो या न हो।
1153,बगलें झाँकना,उत्तर न दे सकना,- साक्षात्कार के समय प्रत्येक प्रश्न के उत्तर में वह बगलें झाँकने लगा था।
1154,बट्टा लगाना,"कलंकित होना, दाग लगना",- चोरी करके उसने अपने माँ-बाप के नाम पर बट्टा लगा दिया।
1155,बदन में आग लग जाना,बहुत क्रोध आना,- राजेश की झूठी बातें सुनकर मेरे बदन में आग लग गई।
1156,बधिया बैठना,बहुत घाटा होना,"- आमदनी कम, खर्चे अधिक।बधिया तो बैठनी ही थी।"
1157,बना बनाया खेल बिगड़ जाना,सिद्ध हुआ काम खराब हो जाना,- तुम्हारी एक छोटी-सी गलती से सारा बना बनाया खेल         ही बिगड़ गया।
1158,बलि जाना,न्योछावर होना,- मीरा कृष्ण के हर रूप पर बलि जाती थी।
1159,बरस पड़ना,क्रोधित होना,- मुझे देखते ही अध्यापक क्यों इतना बरस पड़े?
1160,बाँछें खिल जाना,बहुत प्रसन्न होना,- बेटे को नौकरी मिलने की खबर सुनते ही शर्मा जी की बाँछें खिल गई।
1161,बाँह चढ़ाना,लड़ने को तैयार होना,- इस तरह से बाँह चढ़ाकर बात करने से समस्या का समाधान नहीं निकलेगा।         बैठकर शांति से बात करो।
1162,बाँह पकड़ना,शरण में लेना,"- किसी बड़े आदमी की बाँह पकड़ लो, बेड़ा पार हो जाएगा।"
1163,बाज न आना,बुरी आदत न छोड़ना,- सब लोगों ने इतना समझाया फिर भी वह अपनी आदतों से बाज नहीं आता।
1164,बात का बतंगड़ बनाना,छोटी-सी बात को बहुत बढ़ा देना,- बात का बतंगड़ मत बनाओ और इस किस्से को यहीं समाप्त करो।
1165,बात न पूछना,परवाह न करना,- जब उसका अपना बेटा ही बात नहीं पूछता तो दूसरा कोई क्या मदद करेगा?
1166,बात बढ़ना,झगड़ा होना,- बात ही बात में इतनी बात बढ़ गई कि दोनों ओर से चाकू-छुरियाँ निकल आयीं।
1167,बाल-बाल बचना,मुश्किल से बचना,- विमान दुर्घटना में सभी यात्री बाल-बाल बच गए।
1168,बात का धनी होना,वायदे का पक्का होना,- वह अपनी बात का धनी है। यदि उसने आने का वायदा किया है तो         अवश्य आएगा।
1169,बेड़ा गर्क करना,नष्ट करना,- तुमने मेरा बेड़ा गर्क कर दिया है। अब मैं तुम्हारे साथ काम नहीं कर सकता।
1170,बे पर की उड़ाना,निराधार बातें करना,- मेरे सामने बे पर की मत उड़ाया करो। वही बातें किया करो जिनका कोई प्रमाण हो।
1171,बुरा फँसना,झंझट में पड़ना,- मैं इस खराब रास्ते में गाड़ी लाकर बुरा फँसा।
1172,बुरा मानना,नाराज होना,- बूढ़े की बातों का बुरा न मानना चाहिए।
1173,बेवक्त की शहनाई बजाना,अवसर के प्रतिकूल कार्य करना,- पूजा के अवसर पर सिनेमा के गीत सुना कर लोग बेवक्त की शहनाई बजाते हैं।
1174,बोलती बंद करना,भय से आवाज न निकलना,- मैंने उसे ऐसी डाँट बताई कि उसकी बोलती बंद हो गयी।
1175,बन्दरघुड़की देना-,धमकाना,
1176,बाजार गर्म होना-,"सरगर्मी होना, तेजी होना",
1177,बात का धनी-,"वादे का पक्का, दृढप्रतिज्ञ",
1178,बात की बात में-,अतिशीघ्र,
1179,बात चलाना-,चर्चा करना,
1180,बात पर न जाना-,विश्वास न करना,
1181,बात रहना-,वचन पूरा करना,
1182,बातों में उड़ाना-,हँसी-मजाक में उड़ा देना,
1183,बात पी जाना-,"बर्दाश्त करना, सुनकर भी ध्यान न देना",
1184,बाल की खाल निकालना-,छिद्रान्वेषण करना,
1185,बालू की भीत-,शीघ्र नष्ट होनेवाली चीज,
1186,भीगी बिल्ली होना,डर से दबना,- वह अपने शिक्षक के सामने भीगी बिल्ली हो जाता है।
1187,भानमती का कुनबा जोड़ना,अलग-अलग तरह की चीजें जोड़ना या इकट्ठा करना,"- राजू ने                                      अपने ऑफिस में भानमती का कुनबा जोड़ा हुआ है, उसमें सभी तरह के लोग हैं।"
1188,भंडा फूटना,पोल खुलना,- भंडा फूटने के डर से रवि मीटिंग से उठ कर चला गया।
1189,भंडा फोड़ना,पोल खोलना,- जरा-सी कहासुनी पर महेश ने रवि का भंडा फोड़ दिया।
1190,भगवान को प्यारे हो जाना,मर जाना,- सोनू के नानाजी कल भगवान को प्यारे हो गए।
1191,भरी थाली में लात मारना,लगी लगाई नौकरी छोड़ना,- राजू ने भरी थाली में लात                                      मारकर अच्छा नहीं किया।
1192,भांजी मारना,किसी के बनते काम को बिगाड़ना,- रामू के विवाह में उसके ताऊ ने भांजी मार दी।
1193,भेड़ की खाल में भेड़िया,"देखने में सरल तथा भोलाभाला, पर वास्तव में खतरनाक",- कालू तो                                       भेड़ की खाल में भेड़िया है।
1194,भैंस के आगे बीन बजाना,वज्र मूर्ख के सामने बुद्धिमानी की बातें करना,- राजू को कोई                                       बात समझाना तो भैंस के आगे बीन बजाना है।
1195,भौंहे टेढ़ी करना,क्रोध आना,- पिताजी की जरा भौंहे टेढ़ी करते ही पिंटू चुप हो गया।
1196,भनक पड़ना,सुनाई पड़ना,- पुजारी जी ने अपनी लड़की की शादी कर दी और किसी को भनक तक नहीं पड़ी।
1197,भाड़ झोंकना,व्यर्थ समय नष्ट करना,- अगर पढ़ाई-लिखाई नहीं करोगे तो सारी जिंदगी भाड़ झोंकोगे।
1198,भाड़े का टट्टू,किराए का आदमी,- इस तरह के काम भाड़े के टट्टुओं से नहीं होते। खुद मेहनत करनी पड़ती है।
1199,भूत चढ़ना या सवार होना,किसी काम में पूरी तरह लग जाना,- उस पर आजकल परीक्षा का भूत सवार है।             दिन रात पढ़ने में ही लगी रहती है।
1200,भूत उतरना,क्रोध शांत होना,- उससे कुछ मत कहो। जब भूत उतर जाएगा तब खुद ही शांत हो जाएगा।
1201,भूत बनकर लगना,जी-जान से लगना,"- वह तो मेरे पीछे भूत बनकर लग गया है, छोड़ने का नाम ही नहीं लेता।"
1202,भृकुटि तन जाना,क्रोध आना,- मेरी बात सुनते ही अध्यापक महोदय की भृकुटि तन गई।
1203,भोग लगाना,देवता/ईश्वर को नैवेद्य चढ़ाना,- मैं पहले ठाकुरजी को भोग लगाऊँगा तब नाश्ता करूँगा।
1204,भभूत रमाना,साधु हो जाना,"- बेचारे की पत्नी मरी, तो उसने भभूत रमा लिया।"
1205,भर नजर देखना,अच्छी तरह देखना,"- आओ, तुझे भर नजर देख लूँ, पता नहीं फिर कब मुलाकात होती है ?"
1206,भँवरा बना फिरना,रस-लोलुप होना,- इन दिनों कुमार भँवरा बना फिरता है।
1207,भाग्य खुलना,भाग्य चमकना,"- देखें, हमारा भाग्य कब खुलता है ?"
1208,भाग्य फूटना,किस्मत बिगड़ना,- भाग्य फूट गया जो तुमसे संबंध किया।
1209,भुजा उठा कर कहना,प्रतिज्ञा करना,"- ''निशिचरहीन करौं महीं, भुज उठाइ पन कीन्ह''।"
1210,भूँजी भाँग न होना,अत्यंत दरिद्र होना,- घर भूँजी भाँग नहीं और दरवाजे पर तमाशा करा रहे हैं।
1211,भेड़ियाधसान होना-,देखा-देखी करना,
1212,भारी लगना-,असहय होना,
1213,मुँह धो रखना,आशा न रखना,- यह चीज अब मिलने को नही मुँह धो रखिए।
1214,मुँह में पानी आना,लालच होना,- मिठाई देखते ही उसके मुँह में पानी भर आया।
1215,मैदान मारना,बाजी जीतना,- पानीपत की लड़ाई में आखिर अब्दाली ही मैदान                                      मारा।
1216,मैदान साफ होना,कोई रुकावट न होना,- जब रात को सब लोग सो गए और                                      पुलिस वाले भी चले गए तो चोरों को लगा कि अब मैदान साफ है और सामने वाले घर                                      में घुसा जा सकता है।
1217,मिट्टी के मोल बिकना,बहुत सस्ता,- जो चीज मिट्टी के मोल थी आज की                                       मँहगाई में सोने के भाव बिक रही है।
1218,मुट्ठी गरम करना,घूस देना,- मुट्ठी गर्म करने के बाद ही क्लर्क बाबू ने मेरा काम किया।
1219,मुँह बंद कर देना,शांत कराना,- तुम धमकी देकर मेरा मुँह बंद कर देना चाहते हो
1220,मुँह की खाना,हारना/पराजित होना,"- इस बार तो राजू पहलवान ने मुँह की खाई है,                                        पिछली बार वह जीता था।"
1221,मक्खन लगाना,चापलूसी करना,- चपरासी को मक्खन लगाने के बाद भी रामू का काम                                       नहीं बना।
1222,मक्खी मारना,बेकार रहना,- पढ़-लिख कर श्यामदत्त मक्खी मार रहा है।
1223,मगजपच्ची करना,समझाने के लिए बहुत बकना,- इस काठ के उल्लू के साथ कौन                                       मगजपच्ची करे।
1224,मगरमच्छ के आँसू,दिखावटी सहानुभूति प्रकट करना,- राम के फेल होने पर उसके                                       साथी मगरमच्छ के आँसू बहाने लगे।
1225,मरने को भी छुट्टी न होना,अत्यधिक व्यस्त रहना,- आचार्य जी के पास तो मरने की                                       भी छुट्टी नहीं होती।
1226,मरम्मत करना,मारना-पीटना,- माँ ने सुबह-सुबह टीटू की मरम्मत कर दी।
1227,मस्तक ऊँचा करना,प्रतिष्ठा बढ़ाना,- डॉक्टरी पास करके रवि ने अपने माँ-बाप का मस्तक                                       ऊँचा कर दिया।
1228,महाभारत मचाना,खूब लड़ाई-झगड़ा करना,- सोनू और मोनू दोनों बहन-भाई सुबह से                                       महाभारत मचा रहे हैं।
1229,मांग उजाड़ना,विधवा होना,- युवावस्था में ही सीमा की मांग उजड़ गई।
1230,मिजाज आसमान पर होना,बहुत घमंड होना,- नई कार खरीदने के बाद शंभू का मिजाज                                       आसमान पर हो गया है।
1231,मिट्टी डालना,किसी के दोष को छिपाना,- बच्चों की गलतियों पर मिट्टी नहीं डालनी चाहिए।
1232,मुँह पर कालिख लगना,कलंकित होना,- चोरी करते पकड़े जाने पर राजू के मुँह पर कालिख                                        लग गई।
1233,मुँह पर ताला लगना,चुप रहने के लिए विवश होना,- कक्षा में अध्यापक के आने पर सब                                       छात्रों के मुँह पर ताला लग जाता है।
1234,मुँह पर थूकना,बुरा-भला कहना,- कालू की करतूत देखकर सब उसके मुँह पर थूक गए।
1235,मुँह फुलाना,अप्रसन्नता या असंतुष्ट होकर रूठ कर बैठना,- शांति सुबह से ही अपना मुँह                                        फुलाए घूम रही है।
1236,मुँह सिलना,चुप रहना,- मैंने तो अपना मुँह सिल लिया है। तुम चिंता मत करो।                                       मैं तुम्हारे विरुद्ध कुछ नहीं बोलूँगा।
1237,मुँह काला करना,कलंकित होना,- दुश्चरित्र महिलाएँ न जाने कहाँ-कहाँ मुँह काला                                       कराती फिरती है।
1238,मुँह चुराना,सम्मुख न आना,- इस तरह समाज में कब तक मुँह चुराते फिरोगे। जाकर प्रधान                                 जी से अपनी गलती की माफी माँग लो।
1239,मुँह जूठा करना,थोड़ा-सा खाना/चखना,- यदि भूख नहीं है तो कोई बात नहीं। थोड़ा-सा मुँह                                  जूठा कर लीजिए।
1240,मुँहतोड़ जबाब देना,ऐसा उत्तर देना कि दूसरा कुछ बोल ही न सके,- मैंने ऐसा मुँहतोड़ जबाब                                 दिया कि सबकी बोलती बंद हो गई।
1241,मुँह निकल आना,कमजोरी के कारण चेहरा उतर जाना,- एक सप्ताह की बीमारी में ही उसका                                 मुँह निकल आया है।
1242,मुँह की बात छीन लेना,दूसरे के मन की बात कह देना,- आपने यह बात कहकर तो मेरे मुँह                                  की बात छीन ली। मैं भी यही बात कहना चाहता था।
1243,मुँह में खून लगना,अनुचित लाभ की आदत पड़ना,- इस थानेदार के मुँह में खून लग गया है।                                 बेचारे गरीब सब्जी वालों से भी हफ़्ता-वसूली करता है।
1244,मुँह मोड़ना,उपेक्षा करना,- जब ईश्वर ही मुँह मोड़ लेता है तब दुनिया में कोई सहारा                                 नहीं बचता।
1245,मुँह लगाना,बहुत स्वतंत्रता देना,- ऐसे घटिया लोगों को मैं मुँह नहीं लगाता।
1246,मूँछ उखाड़ना,गर्व नष्ट करना,- सत्तो पहलवान की आज तक कोई मूँछ नहीं                                       उखाड़ पाया है।
1247,मूँछ नीची होना,लज्जित होना,- जब नौकर ने टका-सा जवाब दे दिया तो                                       ठाकुर साहब                                       की मूँछ नीची हो गई।
1248,मूँछों पर ताव देना,वीरता की अकड़ दिखाना,"- ज्यादा मूँछों पर ताव मत दो,                                        बजरंग आ                                        गया तो सारी हेकड़ी निकल जाएगी।"
1249,मूँछ मुड़वाना,हार मान लेना,- यदि मेरी बात झूठी निकली तो मैं मूँछ मुड़वा लूँगा।
1250,मूली-गाजर समझना,अति तुच्छ समझना,- आतंकवादी आम जनता को मूली-गाजर                                        समझते हैं।
1251,मैदान छोड़ना,युद्धक्षेत्र से भाग जाना,- मैदान छोड़ कर भागने वाला कायर होता है।
1252,म्यान से बाहर होना,अत्यन्त क्रुद्ध होना,- अशोक जरा-सी बात पर म्यान से                                       बाहर हो गया।
